documento;nome_cliente;status_cliente;vendedor_crm;ddd;data_cadastro;recencia;frequencia;monetario;ticket_medio;segmento;omnichannel;primeira_compra;ultima_compra
75.584.745/5757-42;Luiza Costa;active;Luciana;41;2023-06-10;227,0;2,0;1679,16;839,58;Regular;False;2023-12-25;2024-04-17
39.820.737/8081-87;Isabela Gomes;active;Juliana;51;2023-08-29;27,0;6,0;5911,22;985,2;VIP;True;2022-10-10;2024-11-03
19.214.773/8178-87;Luiza Araujo;active;Simone;51;2024-05-28;415,0;1,0;1081,72;1081,72;Inativo;False;2023-10-12;2023-10-12
48.346.658/1146-24;Sofia Carvalho;active;Fernanda;21;2022-12-05;11,0;4,0;5079,41;1269,85;VIP;True;2022-01-09;2024-11-19
37.763.683/6628-18;Camila Silva;active;Luciana;51;2023-06-02;;;;;Regular;False;;
56.388.580/1018-76;Beatriz Santos;active;Bianca;91;2023-02-11;118,0;6,0;2866,41;477,73;VIP;True;2023-05-07;2024-08-04
83.274.548/2948-59;Natalia Oliveira;active;Camila;41;2022-05-18;24,0;5,0;3943,46;788,69;VIP;True;2022-08-18;2024-11-06
22.857.996/5188-57;Leticia Silva;inactive;Patrícia;31;2022-12-07;32,0;6,0;3569,83;594,97;VIP;True;2022-02-22;2024-10-29
86.659.532/5927-70;Paula Santos;inactive;Juliana;71;2023-06-26;50,0;3,0;1559,41;519,8;Leal;True;2022-02-18;2024-10-11
38.394.739/5951-35;Camila Silva;active;Amanda;81;2022-08-13;69,0;3,0;1089,02;363,01;Leal;True;2023-05-20;2024-09-22
26.170.368/6126-67;Isabela Souza;active;Larissa;61;2022-09-18;207,0;4,0;2134,87;533,72;Em Risco;True;2022-04-18;2024-05-07
58.202.920/1192-71;Patricia Silva;active;Tatiane;61;2023-11-28;324,0;3,0;1211,36;403,79;Em Risco;True;2022-01-10;2024-01-11
26.270.636/9442-12;Maria Oliveira;active;Renata;51;2024-03-21;135,0;3,0;6615,36;2205,12;Leal;False;2023-01-26;2024-07-18
88.640.728/4893-37;Joana Ferreira;active;Carla;61;2023-04-18;332,0;4,0;2686,74;671,68;Em Risco;True;2023-03-14;2024-01-03
82.731.923/4904-95;Natalia Costa;active;Juliana;91;2022-03-18;93,0;3,0;2285,05;761,68;Leal;True;2022-01-20;2024-08-29
89.524.598/7773-80;Renata Santos;active;Patrícia;21;2022-09-19;886,0;1,0;515,51;515,51;Inativo;False;2022-06-28;2022-06-28
87.512.438/1658-75;Fernanda Almeida;active;Amanda;31;2024-10-22;227,0;1,0;2623,29;2623,29;Regular;False;2024-04-17;2024-04-17
50.528.882/5994-20;Ana Silva;active;Amanda;11;2022-01-17;475,0;2,0;1604,53;802,26;Inativo;False;2023-01-10;2023-08-13
62.641.156/7801-60;Luiza Lima;active;Luciana;41;2022-12-10;250,0;2,0;2063,97;1031,99;Regular;True;2023-06-15;2024-03-25
57.293.835/4719-31;Ana Rodrigues;active;Vanessa;21;2024-11-01;185,0;3,0;2963,48;987,83;Leal;True;2022-04-17;2024-05-29
15.815.850/7328-45;Juliana Nascimento;active;Venda Direta;61;2024-07-28;247,0;5,0;3019,29;603,86;Em Risco;True;2022-07-18;2024-03-28
88.831.215/5780-91;Leticia Pereira;active;Renata;11;2023-11-25;3,0;4,0;1981,41;495,35;Leal;True;2023-12-18;2024-11-27
75.432.656/9181-88;Amanda Pereira;active;Carla;81;2024-04-25;162,0;2,0;2998,85;1499,42;Novo Promissor;True;2023-12-26;2024-06-21
29.320.734/1002-63;Maria Almeida;active;Adriana;61;2024-10-27;90,0;3,0;2568,46;856,15;Leal;True;2023-10-10;2024-09-01
87.931.139/6626-69;Mariana Martins;active;Vanessa;91;2022-09-03;27,0;4,0;3252,18;813,04;VIP;True;2022-08-03;2024-11-03
84.221.578/7239-39;Camila Santos;active;Priscila;61;2024-09-12;26,0;5,0;2610,0;522,0;Leal;True;2022-04-04;2024-11-04
11.161.355/1670-70;Amanda Ferreira;active;Fernanda;71;2022-06-23;69,0;7,0;5297,41;756,77;VIP;True;2023-01-06;2024-09-22
88.147.508/6255-82;Fernanda Santos;active;Juliana;51;2024-04-25;89,0;4,0;2082,94;520,74;Leal;True;2023-02-13;2024-09-02
67.968.467/3854-67;Maria Santos;active;Priscila;81;2023-11-24;233,0;2,0;1102,53;551,26;Regular;False;2022-12-04;2024-04-11
90.454.584/6330-73;Joana Rodrigues;active;Simone;81;2024-10-05;641,0;1,0;1193,08;1193,08;Inativo;False;2023-02-28;2023-02-28
53.640.670/5678-18;Mariana Ferreira;active;Fernanda;91;2022-10-08;98,0;8,0;10169,22;1271,15;VIP;True;2022-04-13;2024-08-24
15.541.500/1990-12;Bruna Araujo;active;Renata;61;2024-09-16;35,0;6,0;3479,74;579,96;VIP;True;2022-10-10;2024-10-26
30.675.957/9995-95;Gabriela Nascimento;active;Mariana;11;2022-08-25;407,0;2,0;681,04;340,52;Inativo;False;2022-11-09;2023-10-20
71.943.781/4516-22;Fernanda Carvalho;active;Tatiane;91;2022-06-06;589,0;1,0;1134,13;1134,13;Inativo;False;2023-04-21;2023-04-21
20.153.627/1615-68;Mariana Lima;active;Camila;31;2024-10-19;180,0;4,0;3832,14;958,04;VIP;True;2022-05-29;2024-06-03
66.139.336/1954-11;Clara Nascimento;active;Elaine;91;2022-12-04;42,0;8,0;5047,14;630,89;VIP;True;2022-08-29;2024-10-19
85.749.399/4278-89;Isabela Oliveira;active;Aline;71;2022-12-03;160,0;5,0;3604,18;720,84;VIP;True;2022-07-04;2024-06-23
90.829.613/7539-32;Maria Oliveira;active;Carla;31;2024-02-10;;;;;Regular;False;;
27.417.835/1383-71;Gabriela Martins;active;Keli;91;2023-05-10;213,0;3,0;2303,68;767,89;Em Risco;False;2023-01-16;2024-05-01
47.604.338/5290-47;Beatriz Nascimento;inactive;Bianca;71;2023-07-01;768,0;1,0;782,06;782,06;Inativo;False;2022-10-24;2022-10-24
76.321.160/7111-37;Patricia Carvalho;active;Fernanda;71;2022-06-10;16,0;1,0;896,13;896,13;Novo Promissor;False;2024-11-14;2024-11-14
30.477.721/1922-16;Renata Martins;active;Priscila;71;2023-08-28;506,0;1,0;257,7;257,7;Inativo;False;2023-07-13;2023-07-13
31.685.536/2230-13;Beatriz Pereira;active;Larissa;21;2023-01-22;29,0;4,0;2694,51;673,63;Leal;True;2022-06-12;2024-11-01
32.986.937/4940-93;Beatriz Carvalho;active;Larissa;41;2024-09-14;58,0;2,0;4095,67;2047,84;Novo Promissor;True;2022-01-04;2024-10-03
85.260.639/9960-46;Mariana Araujo;active;Fernanda;81;2022-08-22;116,0;4,0;4402,76;1100,69;VIP;True;2023-08-07;2024-08-06
72.633.169/5500-44;Bruna Costa;active;Patrícia;21;2023-12-12;130,0;5,0;10620,56;2124,11;VIP;True;2022-03-16;2024-07-23
88.616.927/4191-55;Maria Araujo;active;Carla;41;2023-04-04;447,0;4,0;2501,72;625,43;Perdendo VIP;True;2022-06-10;2023-09-10
59.787.316/3103-68;Fernanda Oliveira;active;Débora;81;2023-02-17;;;;;Regular;False;;
38.554.203/5172-27;Beatriz Gomes;inactive;Bianca;31;2024-11-07;176,0;7,0;5356,69;765,24;VIP;True;2022-02-23;2024-06-07
11.363.430/2205-47;Ana Almeida;active;Adriana;61;2022-03-13;382,0;1,0;184,07;184,07;Regular;False;2023-11-14;2023-11-14
57.126.375/9490-70;Gabriela Silva;active;Aline;21;2023-01-13;592,0;6,0;3526,03;587,67;Perdendo VIP;True;2022-07-10;2023-04-18
40.190.579/2474-44;Fernanda Silva;active;Camila;81;2023-11-13;231,0;1,0;790,05;790,05;Regular;False;2024-04-13;2024-04-13
24.499.352/3828-44;Ana Nascimento;active;Fernanda;81;2024-04-13;350,0;1,0;3482,86;3482,86;Regular;False;2023-12-16;2023-12-16
84.798.598/7644-44;Mariana Lima;active;Simone;11;2022-05-31;87,0;4,0;1940,64;485,16;Leal;False;2022-11-26;2024-09-04
95.265.514/1919-58;Patricia Costa;active;Juliana;31;2023-12-21;112,0;5,0;3293,33;658,67;VIP;True;2022-11-15;2024-08-10
41.794.306/4839-67;Joana Araujo;active;Bianca;21;2022-05-10;131,0;6,0;2569,97;428,33;Leal;True;2022-01-01;2024-07-22
12.307.808/1067-70;Leticia Oliveira;active;Patrícia;71;2023-02-10;108,0;4,0;6326,85;1581,71;VIP;True;2022-05-06;2024-08-14
38.482.118/4521-83;Bruna Silva;active;Priscila;71;2024-11-22;85,0;3,0;1106,25;368,75;Leal;True;2024-01-03;2024-09-06
70.764.375/3258-96;Renata Almeida;active;Adriana;41;2023-06-20;282,0;1,0;2734,65;2734,65;Regular;False;2024-02-22;2024-02-22
33.750.721/7838-37;Patricia Almeida;active;Carla;81;2022-07-16;104,0;5,0;4857,33;971,47;VIP;True;2023-06-28;2024-08-18
78.290.414/5996-60;Luiza Nascimento;active;Patrícia;31;2024-07-05;735,0;2,0;918,27;459,14;Inativo;False;2022-08-01;2022-11-26
30.879.661/6232-51;Isabela Rodrigues;active;Venda Direta;91;2022-10-01;116,0;2,0;1889,34;944,67;Novo Promissor;False;2023-11-05;2024-08-06
93.777.113/5383-20;Mariana Oliveira;active;Carla;51;2022-05-13;12,0;2,0;1778,77;889,38;Novo Promissor;False;2022-06-02;2024-11-18
70.254.666/7837-91;Bruna Almeida;active;Débora;21;2022-09-21;161,0;5,0;4015,47;803,09;VIP;True;2022-11-19;2024-06-22
96.174.376/4716-96;Luiza Almeida;active;Bianca;91;2023-01-02;247,0;3,0;2957,61;985,87;Em Risco;True;2023-01-11;2024-03-28
50.670.610/3904-63;Paula Nascimento;inactive;Juliana;11;2024-04-04;11,0;3,0;1926,52;642,17;Leal;True;2023-11-29;2024-11-19
83.950.932/7982-13;Gabriela Silva;active;Carla;81;2022-01-05;7,0;4,0;1938,74;484,68;Leal;True;2022-04-13;2024-11-23
74.754.715/8086-90;Amanda Silva;active;Tatiane;61;2022-09-26;37,0;6,0;4201,92;700,32;VIP;True;2022-04-19;2024-10-24
55.753.533/5529-42;Isabela Oliveira;active;Amanda;11;2024-04-30;37,0;3,0;2413,58;804,53;Leal;True;2022-11-19;2024-10-24
68.142.306/5875-49;Maria Gomes;inactive;Amanda;41;2024-01-03;22,0;3,0;2280,62;760,21;Leal;True;2022-05-14;2024-11-08
29.321.265/3690-37;Beatriz Lima;active;Elaine;31;2022-03-10;9,0;6,0;5246,61;874,44;VIP;True;2022-11-04;2024-11-21
65.189.193/5108-86;Patricia Lima;active;Aline;71;2024-03-10;56,0;4,0;3072,53;768,13;VIP;True;2022-08-17;2024-10-05
75.904.841/4875-63;Luiza Martins;inactive;Luciana;71;2022-12-24;384,0;4,0;2438,08;609,52;Em Risco;True;2022-01-26;2023-11-12
35.686.975/7055-52;Natalia Costa;inactive;Adriana;61;2022-11-21;27,0;4,0;3136,98;784,24;VIP;True;2023-05-22;2024-11-03
31.759.107/8129-39;Isabela Carvalho;active;Juliana;81;2024-01-21;37,0;4,0;4502,72;1125,68;VIP;True;2022-02-06;2024-10-24
90.739.439/7582-25;Luiza Nascimento;inactive;Bianca;71;2022-09-13;152,0;5,0;1961,2;392,24;Leal;True;2022-03-18;2024-07-01
55.929.846/3566-89;Leticia Lima;active;Renata;41;2023-02-23;376,0;2,0;1738,58;869,29;Regular;False;2022-03-29;2023-11-20
54.338.254/8382-97;Camila Ferreira;active;Priscila;71;2022-07-30;387,0;1,0;865,58;865,58;Regular;False;2023-11-09;2023-11-09
82.278.311/2257-90;Isabela Martins;active;Luciana;11;2024-06-29;237,0;5,0;2683,99;536,8;Em Risco;True;2023-03-15;2024-04-07
66.363.306/4805-29;Camila Silva;inactive;Mariana;31;2023-08-07;164,0;4,0;2545,54;636,38;Leal;True;2022-01-13;2024-06-19
62.730.367/4856-73;Clara Martins;active;Amanda;21;2023-07-31;174,0;3,0;3027,29;1009,1;Leal;False;2023-11-11;2024-06-09
51.449.593/2546-59;Paula Carvalho;active;Débora;71;2022-06-15;29,0;5,0;5366,25;1073,25;VIP;True;2022-07-17;2024-11-01
80.463.669/9954-29;Amanda Silva;inactive;Keli;91;2022-08-02;369,0;1,0;403,71;403,71;Regular;False;2023-11-27;2023-11-27
59.457.827/7628-93;Paula Nascimento;active;Juliana;51;2023-06-13;296,0;1,0;69,64;69,64;Regular;False;2024-02-08;2024-02-08
12.904.737/9775-49;Paula Costa;active;Venda Direta;91;2022-01-03;25,0;3,0;1184,69;394,9;Leal;False;2023-12-27;2024-11-05
65.459.209/1191-17;Joana Araujo;active;Tatiane;81;2024-06-13;350,0;6,0;5272,01;878,67;Em Risco;True;2022-01-07;2023-12-16
65.159.749/5134-37;Patricia Araujo;active;Larissa;11;2024-06-14;401,0;5,0;9492,3;1898,46;Perdendo VIP;True;2022-02-27;2023-10-26
58.519.736/2036-45;Clara Araujo;active;Simone;21;2022-02-21;171,0;5,0;2637,4;527,48;Leal;True;2022-12-07;2024-06-12
35.185.615/6457-73;Isabela Rodrigues;inactive;Keli;61;2023-03-13;93,0;2,0;762,02;381,01;Novo Promissor;True;2024-01-23;2024-08-29
47.482.955/8542-20;Natalia Ferreira;active;Adriana;51;2024-10-18;364,0;6,0;6160,25;1026,71;Em Risco;True;2022-03-18;2023-12-02
55.195.289/2289-49;Mariana Araujo;active;Luciana;71;2022-04-04;417,0;4,0;2501,22;625,3;Perdendo VIP;True;2023-04-15;2023-10-10
33.454.211/6462-26;Juliana Ferreira;active;Aline;91;2023-08-10;526,0;2,0;874,84;437,42;Inativo;False;2023-03-28;2023-06-23
74.346.834/8657-66;Gabriela Nascimento;active;Luciana;41;2023-08-26;158,0;2,0;1422,91;711,46;Novo Promissor;True;2022-06-25;2024-06-25
64.205.280/7327-18;Amanda Gomes;active;Camila;81;2022-03-27;590,0;2,0;592,69;296,35;Inativo;False;2022-02-20;2023-04-20
31.188.787/1529-85;Fernanda Nascimento;active;Adriana;41;2023-06-02;413,0;2,0;1754,71;877,36;Inativo;False;2022-04-21;2023-10-14
49.498.205/7094-72;Juliana Gomes;active;Fernanda;31;2024-01-12;523,0;1,0;737,62;737,62;Inativo;False;2023-06-26;2023-06-26
48.624.948/4103-18;Mariana Souza;inactive;Simone;21;2023-03-06;466,0;2,0;1079,21;539,6;Inativo;False;2022-11-08;2023-08-22
49.759.317/8124-91;Maria Silva;active;Priscila;81;2024-05-12;63,0;2,0;1703,56;851,78;Novo Promissor;False;2024-03-20;2024-09-28
86.819.300/1446-85;Joana Almeida;active;Priscila;81;2024-04-08;76,0;3,0;2312,64;770,88;Leal;True;2024-01-02;2024-09-15
53.137.310/7587-80;Paula Nascimento;inactive;Luciana;31;2022-02-12;1,0;5,0;2130,1;426,02;Leal;False;2022-03-18;2024-11-29
57.117.538/1186-98;Renata Martins;active;Elaine;11;2023-02-08;226,0;3,0;7863,91;2621,3;Em Risco;True;2022-07-23;2024-04-18
71.587.976/3032-15;Gabriela Araujo;active;Keli;61;2022-06-18;48,0;3,0;1175,18;391,73;Leal;False;2024-05-27;2024-10-13
92.688.287/2881-23;Renata Rodrigues;inactive;Keli;51;2022-07-22;702,0;3,0;2759,82;919,94;Inativo;False;2022-04-13;2022-12-29
63.231.650/2695-68;Isabela Oliveira;active;Juliana;81;2023-12-07;608,0;2,0;1458,83;729,42;Inativo;False;2023-01-30;2023-04-02
72.521.219/9411-62;Maria Pereira;active;Vanessa;61;2023-06-27;121,0;2,0;1402,32;701,16;Novo Promissor;False;2023-06-25;2024-08-01
76.511.742/7901-89;Patricia Costa;active;Juliana;41;2022-04-12;459,0;2,0;1992,27;996,14;Inativo;False;2022-08-15;2023-08-29
31.707.521/7855-81;Maria Oliveira;active;Mariana;21;2022-12-12;242,0;4,0;3246,27;811,57;Em Risco;True;2022-07-18;2024-04-02
71.284.105/5482-68;Ana Gomes;active;Vanessa;81;2023-08-26;384,0;6,0;3855,72;642,62;Em Risco;True;2022-09-22;2023-11-12
85.276.926/6918-78;Camila Almeida;active;Mariana;51;2023-03-18;18,0;4,0;8943,18;2235,8;VIP;True;2022-05-27;2024-11-12
71.407.444/5820-93;Amanda Silva;active;Bianca;81;2022-09-07;78,0;6,0;7435,55;1239,26;VIP;False;2022-01-02;2024-09-13
31.487.624/3985-58;Joana Pereira;active;Keli;51;2024-05-27;15,0;3,0;1960,99;653,66;Leal;True;2023-11-13;2024-11-15
29.599.816/1336-63;Luiza Ferreira;active;Camila;61;2023-11-02;32,0;5,0;2356,09;471,22;Leal;True;2022-10-08;2024-10-29
45.580.996/1910-86;Beatriz Silva;active;Keli;51;2022-09-05;99,0;4,0;3141,76;785,44;VIP;True;2022-05-09;2024-08-23
26.157.427/7129-32;Mariana Martins;active;Renata;31;2023-10-14;139,0;2,0;1356,72;678,36;Novo Promissor;True;2024-01-12;2024-07-14
55.427.875/1314-68;Mariana Ferreira;active;Elaine;81;2024-06-19;73,0;1,0;3981,28;3981,28;Novo Promissor;False;2024-09-18;2024-09-18
22.328.596/9347-98;Paula Santos;active;Vanessa;31;2022-04-01;148,0;6,0;4369,32;728,22;VIP;True;2022-06-26;2024-07-05
70.371.986/1721-26;Juliana Martins;active;Priscila;41;2023-07-22;389,0;8,0;6533,42;816,68;Perdendo VIP;True;2022-04-04;2023-11-07
39.970.112/7751-91;Renata Carvalho;active;Camila;61;2023-07-02;131,0;5,0;2622,51;524,5;Leal;True;2022-05-12;2024-07-22
22.270.705/2647-64;Natalia Ferreira;active;Luciana;21;2022-03-21;107,0;2,0;2190,84;1095,42;Novo Promissor;False;2022-09-26;2024-08-15
90.566.727/1142-82;Mariana Martins;active;Adriana;71;2024-07-22;53,0;6,0;16890,21;2815,04;VIP;True;2022-06-19;2024-10-08
61.813.463/7622-62;Luiza Araujo;inactive;Camila;51;2024-09-07;90,0;4,0;2661,54;665,38;Leal;True;2022-11-27;2024-09-01
96.483.791/8069-42;Clara Gomes;active;Patrícia;51;2024-05-19;1039,0;1,0;705,55;705,55;Inativo;False;2022-01-26;2022-01-26
66.407.748/2717-10;Mariana Pereira;active;Elaine;51;2022-06-18;747,0;3,0;1358,96;452,99;Inativo;True;2022-06-07;2022-11-14
53.838.942/4791-18;Sofia Santos;active;Aline;21;2023-09-16;4,0;3,0;1516,22;505,41;Leal;True;2023-02-14;2024-11-26
41.882.239/2504-87;Clara Pereira;active;Luciana;91;2023-01-14;88,0;3,0;1283,18;427,73;Leal;False;2023-11-07;2024-09-03
66.171.766/4303-51;Sofia Santos;active;Venda Direta;31;2022-07-13;143,0;7,0;7991,15;1141,59;VIP;True;2022-11-14;2024-07-10
71.982.238/8850-26;Patricia Costa;active;Priscila;71;2022-09-21;;;;;Regular;False;;
41.605.832/4924-49;Paula Pereira;active;Renata;51;2023-06-05;294,0;3,0;3340,88;1113,63;Em Risco;True;2023-04-01;2024-02-10
32.667.489/9100-73;Beatriz Pereira;active;Larissa;51;2024-07-07;118,0;4,0;4275,92;1068,98;VIP;True;2022-07-24;2024-08-04
63.811.332/5322-20;Renata Carvalho;active;Juliana;41;2023-04-24;226,0;2,0;1405,87;702,94;Regular;True;2022-08-23;2024-04-18
97.916.248/8282-75;Luiza Lima;inactive;Fernanda;61;2023-07-28;60,0;3,0;2748,24;916,08;Leal;True;2022-11-03;2024-10-01
72.203.950/5763-26;Maria Lima;active;Simone;71;2024-04-22;479,0;4,0;2116,67;529,17;Perdendo VIP;True;2022-10-24;2023-08-09
15.246.283/2051-75;Ana Carvalho;active;Keli;71;2024-06-14;62,0;4,0;2634,51;658,63;Leal;True;2022-12-01;2024-09-29
47.218.392/8538-77;Luiza Santos;inactive;Vanessa;81;2023-06-01;44,0;4,0;2234,54;558,64;Leal;True;2022-04-29;2024-10-17
95.317.276/3105-22;Fernanda Carvalho;active;Simone;51;2024-10-20;;;;;Regular;False;;
61.669.387/4176-69;Sofia Costa;active;Mariana;71;2024-06-14;389,0;6,0;4035,81;672,64;Perdendo VIP;True;2022-01-18;2023-11-07
92.285.351/6869-65;Renata Almeida;inactive;Tatiane;41;2023-04-10;686,0;1,0;875,18;875,18;Inativo;False;2023-01-14;2023-01-14
37.996.309/3863-49;Amanda Silva;active;Larissa;91;2023-09-05;142,0;5,0;7766,89;1553,38;VIP;True;2022-10-27;2024-07-11
72.559.571/7513-13;Mariana Lima;inactive;Juliana;51;2023-08-28;422,0;1,0;438,46;438,46;Inativo;False;2023-10-05;2023-10-05
47.591.236/1183-85;Patricia Lima;active;Juliana;31;2023-09-13;60,0;6,0;4441,62;740,27;VIP;True;2022-01-02;2024-10-01
40.571.474/7797-34;Ana Rodrigues;active;Juliana;51;2024-09-26;341,0;6,0;5525,52;920,92;Em Risco;True;2022-01-05;2023-12-25
43.678.349/7653-82;Isabela Silva;active;Aline;91;2023-07-09;332,0;4,0;4355,38;1088,84;Em Risco;True;2022-07-10;2024-01-03
35.459.109/9002-33;Gabriela Oliveira;active;Mariana;81;2022-05-16;71,0;2,0;1661,49;830,74;Novo Promissor;True;2023-07-21;2024-09-20
14.294.382/1270-44;Gabriela Rodrigues;active;Vanessa;11;2022-11-26;800,0;2,0;1277,7;638,85;Inativo;False;2022-01-06;2022-09-22
85.204.792/7305-96;Natalia Costa;active;Mariana;51;2024-08-12;;;;;Regular;False;;
59.951.239/8299-96;Paula Silva;active;Venda Direta;61;2023-01-30;210,0;1,0;223,41;223,41;Regular;False;2024-05-04;2024-05-04
57.282.467/1128-98;Amanda Pereira;active;Fernanda;21;2022-06-05;504,0;4,0;8727,08;2181,77;Perdendo VIP;True;2022-08-16;2023-07-15
75.769.998/8545-30;Isabela Souza;active;Aline;61;2024-11-28;371,0;2,0;2007,47;1003,74;Regular;True;2022-01-15;2023-11-25
98.951.532/1627-95;Leticia Silva;active;Simone;91;2024-05-19;609,0;4,0;4676,06;1169,02;Perdendo VIP;True;2022-02-13;2023-04-01
94.545.580/3341-24;Natalia Souza;active;Priscila;41;2023-06-22;7,0;3,0;1728,77;576,26;Leal;True;2022-04-11;2024-11-23
61.401.124/3672-56;Bruna Oliveira;active;Bianca;31;2023-10-30;70,0;4,0;2962,21;740,55;VIP;True;2022-12-08;2024-09-21
96.190.629/5059-95;Clara Lima;inactive;Camila;91;2022-09-01;247,0;3,0;1682,55;560,85;Em Risco;True;2022-07-30;2024-03-28
32.291.651/8409-19;Luiza Rodrigues;active;Carla;21;2023-07-01;337,0;1,0;181,77;181,77;Regular;False;2023-12-29;2023-12-29
98.279.811/7646-84;Renata Araujo;active;Priscila;91;2023-03-26;719,0;1,0;1029,36;1029,36;Inativo;False;2022-12-12;2022-12-12
70.291.104/7009-62;Joana Lima;inactive;Mariana;21;2022-10-05;181,0;5,0;2856,03;571,21;VIP;True;2022-06-07;2024-06-02
64.648.155/5538-78;Maria Martins;active;Fernanda;31;2024-01-24;598,0;2,0;878,06;439,03;Inativo;False;2022-11-14;2023-04-12
82.670.851/8616-69;Beatriz Santos;active;Aline;71;2023-02-10;360,0;2,0;2445,85;1222,92;Regular;False;2022-07-03;2023-12-06
60.129.878/3011-85;Gabriela Oliveira;active;Carla;21;2024-02-10;124,0;3,0;2806,37;935,46;Leal;True;2022-02-12;2024-07-29
48.701.816/1890-81;Natalia Ferreira;inactive;Camila;11;2024-01-19;874,0;2,0;6138,19;3069,1;Inativo;True;2022-03-28;2022-07-10
72.544.992/9923-82;Bruna Silva;active;Elaine;91;2024-02-11;355,0;6,0;7395,86;1232,64;Em Risco;True;2022-04-16;2023-12-11
67.795.594/7686-61;Paula Gomes;inactive;Fernanda;61;2022-08-26;143,0;4,0;2051,35;512,84;Leal;True;2022-08-23;2024-07-10
98.687.996/6558-31;Natalia Oliveira;inactive;Mariana;91;2022-07-20;202,0;3,0;2528,9;842,97;Em Risco;True;2022-09-16;2024-05-12
49.712.210/3432-74;Mariana Costa;active;Venda Direta;31;2024-01-16;177,0;5,0;4699,64;939,93;VIP;True;2022-09-28;2024-06-06
72.589.793/2449-30;Maria Almeida;active;Vanessa;31;2022-08-20;820,0;1,0;1352,18;1352,18;Inativo;False;2022-09-02;2022-09-02
88.308.121/9869-89;Sofia Oliveira;active;Mariana;31;2023-12-25;374,0;5,0;2553,45;510,69;Em Risco;True;2022-10-10;2023-11-22
17.801.786/6904-26;Sofia Martins;active;Carla;21;2023-12-26;147,0;4,0;2454,86;613,72;Leal;False;2022-09-13;2024-07-06
22.756.265/5591-87;Isabela Gomes;active;Renata;61;2022-03-28;494,0;2,0;2102,29;1051,14;Inativo;False;2022-11-25;2023-07-25
54.873.262/7509-23;Ana Carvalho;inactive;Carla;31;2023-12-04;148,0;4,0;3445,7;861,42;VIP;False;2022-10-25;2024-07-05
81.544.754/4580-36;Camila Oliveira;active;Camila;51;2024-03-30;218,0;2,0;3356,53;1678,26;Regular;True;2022-09-07;2024-04-26
22.852.514/2015-44;Clara Oliveira;active;Carla;51;2022-02-23;888,0;2,0;1882,7;941,35;Inativo;False;2022-01-10;2022-06-26
69.105.808/8984-32;Bruna Souza;active;Mariana;31;2024-01-12;79,0;1,0;6130,38;6130,38;Novo Promissor;False;2024-09-12;2024-09-12
98.125.914/1985-29;Joana Souza;active;Aline;31;2023-11-25;309,0;4,0;3254,9;813,72;Em Risco;True;2022-10-30;2024-01-26
15.809.670/7289-13;Luiza Santos;active;Juliana;11;2023-03-12;707,0;3,0;2624,58;874,86;Inativo;True;2022-06-25;2022-12-24
26.348.625/8566-28;Natalia Costa;active;Camila;61;2023-08-17;23,0;5,0;6725,25;1345,05;VIP;True;2023-04-13;2024-11-07
72.590.850/2003-44;Leticia Ferreira;active;Bianca;31;2023-03-18;127,0;3,0;2081,82;693,94;Leal;False;2022-10-06;2024-07-26
90.518.711/9095-57;Joana Lima;active;Débora;11;2022-06-16;96,0;5,0;4547,27;909,45;VIP;True;2022-08-08;2024-08-26
53.971.416/7524-26;Renata Almeida;inactive;Vanessa;91;2023-07-20;31,0;6,0;5485,46;914,24;VIP;True;2022-09-19;2024-10-30
80.462.149/6184-41;Isabela Nascimento;active;Fernanda;11;2022-03-14;394,0;1,0;1870,99;1870,99;Inativo;False;2023-11-02;2023-11-02
45.240.925/2956-88;Ana Gomes;active;Juliana;51;2023-12-26;99,0;5,0;7482,81;1496,56;VIP;True;2022-10-04;2024-08-23
77.907.286/5827-25;Camila Pereira;active;Keli;51;2024-08-05;86,0;3,0;3015,62;1005,21;Leal;True;2022-02-24;2024-09-05
71.487.528/3284-75;Leticia Oliveira;active;Keli;21;2022-09-27;374,0;3,0;1150,12;383,37;Em Risco;True;2022-09-16;2023-11-22
40.870.857/5887-24;Renata Rodrigues;active;Tatiane;11;2022-08-07;512,0;2,0;1130,31;565,16;Inativo;False;2022-11-18;2023-07-07
52.258.300/4558-54;Camila Martins;active;Luciana;61;2023-07-01;333,0;3,0;2249,11;749,7;Em Risco;True;2022-03-30;2024-01-02
75.875.682/4575-66;Natalia Silva;inactive;Juliana;71;2022-11-04;152,0;2,0;1441,93;720,96;Novo Promissor;False;2023-07-19;2024-07-01
89.897.557/9849-78;Clara Pereira;active;Renata;91;2023-02-25;94,0;4,0;2979,77;744,94;VIP;True;2022-09-01;2024-08-28
48.671.709/5266-54;Natalia Martins;active;Aline;81;2024-04-28;199,0;3,0;3094,45;1031,48;Em Risco;True;2023-06-19;2024-05-15
32.552.449/9069-65;Gabriela Almeida;active;Patrícia;31;2024-06-04;;;;;Regular;False;;
13.192.105/9479-27;Fernanda Lima;inactive;Elaine;91;2023-04-07;126,0;8,0;6740,78;842,6;VIP;True;2022-12-23;2024-07-27
24.523.989/1607-82;Sofia Martins;active;Camila;11;2023-08-08;44,0;3,0;3672,67;1224,22;Leal;True;2022-02-15;2024-10-17
83.311.105/3671-72;Maria Gomes;active;Mariana;61;2024-07-04;20,0;4,0;2552,79;638,2;Leal;True;2022-06-21;2024-11-10
